SamplesperPixel,ScanningSequence,SequenceVariant,ScanOptions,MRAcquisitionType,RepetitionTime,EchoTime,EchoTrainLength,InversionTime,AngioFlag,NumberofAverages,ImagingFrequency,MagneticFieldstrength,SpacingBetweenSlices,PercentSampling,PercentPhaseFieldofView,PixelBandwidth,ReconstructionDiameter,PhaseEncodingDirection,FlipAngle,SAR,VariableFlipAngleFlag,SeriesDescription,SHStationName
1,NULL,NONE,NULL,2D,6500,106.4,1,0,N,1,63.823734,1.5,4.5,100,100,1953.12,220,COL,90,0.192114,N,Ax DIFF Pedi,MR1WA
1,NULL,NONE,NULL,2D,6500,106.4,1,0,N,1,63.823734,1.5,4.5,100,100,1953.12,220,COL,90,0.192114,N,ADC,MR1WA
1,GR,SS,NULL,3D,25,3.3,1,0,N,1,63.823729,1.5,0.600001,100,94,69.7656,180,ROW,20,1.18881,Y,3DTOF (CHECK RAMP PULSE),MR1WA
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3D R ANT,MR1WA
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3D POST VERT,MR1WA
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3D POST HORIZ,MR1WA
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3D L ANT,MR1WA
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3D COW,MR1WA
3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3D ANT CIRC,MR1WA
1,NULL,NONE,NULL,2D,6500,99.9,1,0,N,1,63.82377,1.5,4.5,100,100,1953.12,220,COL,90,0.281672,N,ZERO-B,MR1WA
